,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3713,0.16092594464619955,0.007120426307605146,0.01390377680460612,0.000703343761336821,45,sqrt,170,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 170}",-2.8775487091301124,-2.4962942829005614,-2.237907759220257,-2.537250250416977,0.2627332990655476,1124
3714,0.15528512001037598,0.00021482162275280155,0.013265132904052734,3.3315530862889416e-05,45,sqrt,175,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 175}",-2.8726532000809533,-2.510019131446195,-2.2375235274606835,-2.5400652863292774,0.260159571325147,1228
3715,0.174562136332194,0.001970939030533165,0.014704704284667969,0.000312636189735082,45,sqrt,180,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 180}",-2.848736750470366,-2.496923685668242,-2.2536223538036007,-2.53309426331407,0.24429697677954273,1021
3716,0.17734511693318686,0.003010120370688795,0.01502537727355957,0.00014068406749964316,45,sqrt,185,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 185}",-2.87738319712317,-2.471535859019758,-2.259552868134522,-2.536157308092483,0.2563338027062231,1081
3717,0.17703811327616373,0.008143695162957883,0.015091021855672201,0.0007548727894818125,45,sqrt,190,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 190}",-2.8789107295260736,-2.48879353876959,-2.2623515883274177,-2.543351952207694,0.25464846227242804,1395
3718,0.1710969607035319,0.0006220699803317669,0.01432490348815918,5.86764866805605e-05,45,sqrt,195,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 195}",-2.897722166733764,-2.476339544654579,-2.25062039021123,-2.541560700533191,0.2681734844899989,1332
3719,0.19117442766825357,0.0025951891892618383,0.01575922966003418,0.0004220107179778484,45,sqrt,200,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 200}",-2.890305452759876,-2.492545482159213,-2.265020997215843,-2.5492906440449774,0.25840558899313126,1639
3720,0.1855299472808838,0.0057513297198125545,0.015444278717041016,0.0005792718138991228,45,sqrt,205,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 205}",-2.8957864475067434,-2.495415289427307,-2.2378497598947575,-2.543017165609603,0.27070232752171886,1379
3721,0.19185209274291992,0.009232520509167586,0.015474160512288412,0.00044550548610727776,45,sqrt,210,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 210}",-2.8938928780241757,-2.4790534183402033,-2.249786957565209,-2.5409110846431964,0.2665681743355877,1310
3722,0.2084182103474935,0.004127024963016951,0.01747433344523112,0.0008695050799045308,45,sqrt,215,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 215}",-2.9011896725745245,-2.4766456219322133,-2.2443279908383422,-2.540721095115027,0.2719633148435312,1290
